name,latitude,longitude,phone,address,phone_source
Sushant Lok Fire Station,28.463707,77.0729645,,,
Unnamed,28.5728012,77.1669817,,,
Fire Station,28.5685669,77.1843122,+91 11 2617 3583,,matched_by_location
Unnamed,28.6470756,77.1812066,,,
Unnamed,28.6623205,77.0796272,,,
Sector 6 Fire Station,28.5973177,77.0640235,+91 11 2808 2565,,matched_by_location
Fire Station Chanakyapuri,28.602644,77.1903646,+91-11-2611-2266,,
Unnamed,28.6214349,77.2076446,,,
Fire Station Naraina,28.6329962,77.1390034,,,
Unnamed,28.659476,77.216097,+91 11 2361 2755,,matched_by_location
Unnamed,28.737415,77.1539231,,,
Unnamed,28.6518215,77.2336802,,,
Unnamed,28.7361567,77.297457,,,
FIRE STATION,28.6861712,77.2859055,,,
Fire Brigade Station,28.6982368,77.2049529,,,
CBD Shahdara Fire Station,28.661811,77.2967067,+91 11 2239 2230,,matched_by_location
"Delhi Fire Service ,Kalyanvas Fire Station",28.6172307,77.3091716,,,
Roop Nagar Fire Station,28.6850059,77.2029077,+91 11 2384 2505,,matched_by_location
Hari Nagar Fire Station,28.6222902,77.1101364,,,
Keshavpuram Fire Station,28.6815114,77.1478054,,,
Janakpuri Fire Station,28.6212148,77.0911143,+91 11 2552 2000,,matched_by_location
Moti Nagar Fire Station,28.6598615,77.1455789,,,
Fire Safety Management Academy,28.7068948,77.1285273,+91-11-2756-2535;+91-11-2755-2155,,
Unnamed,28.496035,77.06393,,,
Fire Station Shankar Road,28.6406989,77.1757645,,,
Unnamed,28.61226,76.9767657,,,
Unnamed,28.6745618,77.2841318,,,
Unnamed,28.6592266,77.1439439,,,
Unnamed,28.6204983,77.3368143,,,
Unnamed,28.6690476,77.1002648,,,
Barakhamba Road Fire Station,28.632012,77.2233562,,,
Fire Station 1,28.5482432,77.0947618,,,
Fire Station Gokulpuri,28.7003913,77.2910981,,Fire Station Gokulpuri Loni Road,
Unnamed,28.6251767,77.307249,+91 11 2272 1190,,matched_by_location
Unnamed,28.6170791,77.3092307,,,
Unnamed,28.7341557,77.174969,,,
Unnamed,28.6853898,77.3151568,,,
Unnamed,28.7310072,77.1208549,,,
Safdarjung Fire Station,28.5863325,77.2133126,+91 11 2461 1111,,
Fire Station Nehru Place,28.5492505,77.2567323,+91-101-644-5230,,
Indira Gandhi International Airport Fire Station,28.5665693,77.0987799,,,
