name,address,latitude,longitude,phone
Delhi Fire Station,"Bhikaji Kama Palace, Trikoot Bhawan-4, Vivekanand Marg",28.568661,77.1842913,+91 11 2617 3583
Delhi Fire Service HQ,"1205, New Barakhamba Rd, Connaught Lane, Barakhamba, New Delhi",28.631771200000003,77.2242831,
Fire Safety Management Academy,"Madhuban Chowk, Bhagwan Mahavir Marg, Block A, Sector 14, Rohini",28.706615000000003,77.128295,+91 11 2756 2534
Fire Station Roop Nagar,"Block C, Maurice Nagar, Roop Nagar, Delhi",28.6850673,77.2028693,+91 11 2384 2505
Fire Station Dwarka,"Road No. 201, Sector 6 Dwarka, New Delhi",28.597368099999997,77.0641401,+91 11 2808 2565
Fire Station Safdarjung,"Sri Aurobindo Marg, Jor Bagh, New Delhi",28.5861564,77.2131259,+91 11 2461 1111
Rohini Sector-5 Fire Station,"Rohini Institutional Area, Sector 5, Rohini, New Delhi",28.718272699999996,77.10949459999999,+91 11 2704 2777
Janakpuri Fire Station,"Lal Sai Marg, Block C2B, Janakpuri, New Delhi",28.6212135,77.09108730000001,+91 11 2552 2000
Fire Station Teliwara,"Bahadurgarh Rd, Rui Mandi, Sadar Bazar, Delhi",28.659465899999994,77.2161734,+91 11 2361 2755
Fire Station Geeta Colony,"Raja Ram Kohli Marg, Near St. Lawrence High School, Taj Enclave",28.653480199999997,77.2704201,+91 11 2251 3330
Fire Station Laxmi Nagar,"East Guru Angad Nagar, Swasthya Vihar, New Delhi",28.6403807,77.2855453,+91 11 2241 7747
Fire Station Mandawali,"Mother Dairy Marg, Indraprastha Extension, Patparganj",28.6254815,77.3071465,+91 11 2272 1190
"Delhi Fire Station, Mayur Vihar","Mayur Place, Phase I, Mayur Vihar",28.5911223,77.2991168,+91 11 2617 3583
CBD Shahdara Fire Station,"Opposite Fun City Aggarwal Mall, Vishwas Nagar, Shahdara",28.6619159,77.2967215,+91 11 2239 2230
Fire Station Dallupura,"Dallupura Rd, Vasundhara Enclave",28.6044989,77.3225709,+91 11 2261 1236
"Delhi Fire Service, Kalyanvas Fire Station",Mayur Vihar Phase II,28.6172919,77.3091371,
Fire Station Darya Ganj,"Ansari Rd, Old Delhi, Daryaganj",28.6461953,77.2438261,
Fire Station Sector 16 Rohini,"Dr. KN Katju Marg, Block G-3, Sector 16, Rohini",28.7309854,77.1207896,
Rohini Sec 41 (Kirari) Fire Station,"Sector 41, Rohini",28.7164528,77.0524095,
