name,latitude,longitude,phone,address,emergency
"Paras Hospital, Gurgaon",28.4509689,77.0875533,,,
Max Hospital,28.462841,77.0759312,,,
Prakash Hospital Pvt Ltd,28.5854878,77.3494026,,,yes
Pushpanjali Hospital,28.4508125,77.0328448,,,
Base Hospital Delhi Cantt,28.6082403,77.1366732,,,
Saint soham hospital private,28.7983668,77.0352715,,,
Dr. Indra Hospital,28.7980095,77.0354003,,,
Dr. Rajeev Hospital,28.8006984,77.0353788,,,
Bawana Dispensary,28.8012625,77.0374388,,Narela Road,
Kailash Hospital & Heart Institute,28.577404,77.3314139,0120 244 4444,H-33 Sector 27,
Delhi Heart and Lung Institute Super Speciality Hospital,28.6416777,77.2052683,,,
Indraprastha Apollo Hospital,28.5408389,77.2834999,,,yes
Ayushman Hospital,28.5965201,77.0493833,42811114,,
Govt Dispensory,28.5866431,77.0573761,25081423,,
Ayurvedic Mental Hospital,28.7237864,77.1497987,,,
Sukhda Hospital,28.5469254,77.2445375,,,
Ram Lal Kundan Lal Orthopaedic Hospital,28.6179569,77.2866841,+91 11 4318 9000;+91 11 4318 9099,,
Dr. Shyama Prasad Mukherjee Chest Hospital,28.6140205,77.2898985,,,
"Yashoda Super Speciality Hospital, Anand Vihar",28.6450931,77.3287535,,,yes
Sitaram Bhartia,28.4675077,77.0824741,,,
Sujan Mohinder Singh Hospital,28.5629027,77.2685753,,,
PHC Ujjwa,28.5702527,76.9041305,25318335,,
NMC Hospital,28.5729253,77.3402993,,,
Bhardwaj Hospital,28.5660388,77.3355783,,,
Goyal MRI & Diagnostic Centre,28.5647144,77.1893283,+91-11-40771234,B-1/12 Safdarjung Enclave,
MGS Hospital,28.6739027,77.1346394,,,
Maharaja Agrasen Hospital,28.6740586,77.1340566,,,
A One Hospital,28.67882,77.0981158,,,
Majeedia Hospital,28.5148169,77.2518253,,,
Somdatt Medical,28.6293605,77.276622,,,
Krypton Global Health,28.638646,77.0732307,,111 Guru Virjanand Marg,yes
Prime Hospital & Ortho Centre,28.4447109,77.3185979,,,
