name,address,latitude,longitude,phone
"Fortis Hospital, Shalimar Bagh","AA-299, Shaheed Udham Singh Marg, AA Block, Shalimar Bagh",28.709377099999998,77.1704486,+91 84483 39575
Saroj Super Speciality Hospital,"Sector-14 Extension, near Madhuban Chowk, Rohini",28.705946199999996,77.12892169999999,+91 11 4790 3333
NKS Super Speciality Hospital,"Sanjay Nagar, Gulabi Bagh, Delhi",28.6753963,77.1911781,+91 11 3506 6666
BLK-Max Super Speciality Hospital,"Pusa Rd, Radha Soami Satsang, Rajinder Nagar, New Delhi",28.6435455,77.17957679999999,+91 11 3040 3040
St. Stephen's Hospital,"Railway Colony, Tis Hazari, New Delhi",28.6660794,77.2141223,+91 11 2396 6021
"Max Super Speciality Hospital, Shalimar Bagh","FC 50, C and D Block, Shalimar Place Site",28.727664,77.152599,+91 11 6642 2222
Vinayak Hospital,"Derawal Nagar, Gujranwala Town, New Delhi",28.6986231,77.1870393,+91 99904 55555
Jeewan Mala Hospital,"67/1 New Rohtak Road, Guru Gobind Singh Marg, Karol Bagh",28.657966599999995,77.1942862,+91 11 4777 4151
Sir Ganga Ram Hospital,"Old Rajinder Nagar, Rajinder Nagar, New Delhi",28.6384582,77.1895559,+91 11 4225 4000
Bansal Global Hospital,"C-10, Ramgarh, Bhalswa Jahangirpuri, Delhi",28.7274042,77.1626864,+91 11 2763 6400
"Max Super Speciality Hospital, Saket","1&2, Press Enclave Marg, Saket Institutional Area, New Delhi",28.527548999999997,77.2119946,+91 11 2651 5050
Indraprastha Apollo Hospital,"NH-19, Jasola Vihar, New Delhi",28.5406218,77.28309569999999,+91 80 6904 9768
"Max Multi Speciality Centre, Panchsheel Park","N 110, Block N, Panchsheel Park North",28.5434353,77.2144746,+91 11 4609 7200
Moolchand Hospital,"near Lajpat Nagar Metro Station, Block M, Lajpat Nagar III",28.566167,77.235388,+91 11 4200 0000
Dr Sunder Lal Memorial Hospital,"C-201, Devli Road, Jawahar Park, Khanpur, New Delhi",28.506293,77.231685,+91 88267 56926
"Aakash Hospital, Malviya Nagar","90/43, Malviya Nagar Rd, Malviya Nagar, New Delhi",28.5350398,77.2148233,+91 11 4050 1000
VMMC & Safdarjung Hospital,"Ansari Nagar East, near AIIMS Metro Station",28.568037,77.2058467,+91 11 2616 5060
SCI International Hospital,"4, Greater Kailash-1, M Block, New Delhi",28.549893299999997,77.23413029999999,+91 99994 46622
Batra Hospital & Medical Research Centre,"1, Mehrauli-Badarpur Rd, near Saket Metro Station",28.5136616,77.245724,+91 11 2995 8747
Sukhmani Hospital,"126A, opp Rajasthan Vidyut niwas, Safdarjung Enclave",28.559808999999998,77.2005106,+91 92892 60077
Park Hospital,"Meera Enclave Outer Ring Road, Vishnu Garden, New Delhi",28.651781999999997,77.093166,+91 124 674 6075
Aakash Healthcare Super Speciality Hospital,"Road No. 201, Dwarka Sector-3, New Delhi",28.60522,77.05345109999999,+91 11 4338 8888
B.M. Gupta Hospital,"15/21, H8, Arya Samaj Rd, Vijay Vihar, Uttam Nagar",28.619423200000004,77.0612408,+91 11 4715 7777
Sehgal Neo Hospital,"B-362-364, Outer Ring Rd, Meera Bagh, Paschim Vihar",28.658151600000004,77.0915255,+91 11 4556 5656
Satyabhama Hospital,"RZ-10, Naresh Park, Najafgarh Road, Nangloi",28.676944,77.0633786,+91 97117 33339
Venkateshwar Super Speciality Hospital Dwarka,"Sector 12 Rd, Sector 18A Dwarka, New Delhi",28.5885973,77.0380428,+91 11 4855 5555
