name,latitude,longitude,phone,address,operator,phone_source
Unnamed,28.5779649,77.3375263,,,,
Police Station Sadar,28.4291623,77.0375117,,,,
Sadar Police Station,28.4640597,77.0360665,,,,
Sushant Lok Police Station,28.462993,77.0728175,,,,
Sector 18 Police Station,28.4863642,77.0660949,,,,
Police Station Sector 56,28.4248272,77.1031506,,,,
Thana Kundli,28.8638535,77.1233526,,,,
Bawana Police station,28.8055119,77.0256424,,,Delhi Police,
Shalimar Bagh Police Station,28.7170924,77.1571367,,,Delhi Police,
Unnamed,28.6345193,77.1810077,,,Delhi Police,
Vikas Puri,28.6301441,77.0682683,,,Delhi Police,
"Police Post Kaushambi, Police Station Indirapuram",28.6421878,77.3270651,,,,
Ashok Vihar Police Station,28.6925224,77.1739049,+91 11 2724 3066,,Delhi Police,matched_by_location
Unnamed,28.4309808,77.2971327,,,,
Najafgarh Police Thana,28.6098145,76.9828316,+91 11 2501 6200,,Delhi Police,matched_by_location
Police Chowki,28.6126106,76.9867433,,,Delhi Police,
Jaffar Pur Police Station,28.5958543,76.9151778,,,Delhi Police,
Police Station Malviya Nagar,28.5306718,77.2045562,+91-11-2669-1861;+91-11-2669-1862,,Delhi Police,
Hari Nagar Police Station,28.6097133,77.0997911,,Pankha Road,Delhi Police,
Prasad Nagar Police Station,28.6478735,77.180705,+91 11 2587 4034,,Delhi Police,matched_by_location
Dwarka Police Station,28.5649687,77.0584523,+91 11 2805 1585,,Delhi Police,matched_by_location
Police Booth,28.6702484,77.1336893,,,Delhi Police,
Punjabi Bagh Police Station,28.6741463,77.1322843,+91 11 2522 4162,,Delhi Police,matched_by_location
Rajendra Nagar Police Station,28.634698,77.1826937,,,Delhi Police,
Police Residential Complex,28.6349617,77.1837505,,,Delhi Police,
New Ashok Nagar Police Station,28.5983359,77.3112386,,,Delhi Police,
Baba Haridas Nagar Police Station,28.6289362,76.9666822,,,Delhi Police,
Subroto Park Police Station,28.5942138,77.1651188,,,Delhi Police,
Unnamed,28.6499571,77.1219621,,,Delhi Police,
Unnamed,28.6499319,77.2432349,,,Delhi Police,
Lahori Gate Police Station,28.6558358,77.2190161,,,Delhi Police,
Kotwali Police Station,28.6585978,77.2310844,,,Delhi Police,
Jama Masjid Police Station,28.6524641,77.2337052,,,Delhi Police,
Cycle Market Police Post,28.6559206,77.2347384,,,Delhi Police,
Police Station,28.5246843,77.2543284,,,Delhi Police,
police station,28.5820097,77.195299,,,Delhi Police,
Police Chowki,28.8638951,77.2854276,,Bada Bazar,,
Police Post Sanjay Colony,28.4300428,77.2261104,+91-11-2665-2562;+91-11-2665-9611,,Delhi Police,
Police Staion,28.4651874,77.0172873,,New Colony,,
Unnamed,28.6891306,77.2217498,,,Delhi Police,
Police station Surya nagar,28.66921,77.331314,,,,
Police Station Hazrat Nizamudin Railway station,28.5879796,77.2536138,,,Delhi Police,
Police Station Karol Bagh,28.652398,77.1930248,+91-11-2872-6870;+91-11-2872-1115,,Delhi Police,
Police Station New Delhi Railway Station,28.6437003,77.2189266,,,Delhi Police,
Police Post,28.635912,77.2222854,,,Delhi Police,
Police Post Majnu ka Tila,28.6965167,77.2270376,,,Delhi Police,
Police Station Pul Prahladpur,28.5019105,77.2907092,,,Delhi Police,
Police Station Khyala,28.6517663,77.0963462,,,Delhi Police,
Unnamed,28.613379,77.3171717,+91 11 2277 2287,,Delhi Police,matched_by_location
Durga Puri Police Station,28.6894132,77.2915327,,,Delhi Police,
Police Post PSRI Hospital,28.5318943,77.2252646,,,Delhi Police,
Police Chowki,28.6862014,77.2920281,,,Delhi Police,
Police Station Dabri,28.6131514,77.0860753,+91 87508 71024,"Dabri More Sitapuri, Dabri",Delhi Police,matched_by_location
Police Station Old Delhi Railway Station,28.6603874,77.2293263,,,Delhi Police,
Police Station Badarpur,28.4937527,77.3037682,,,Delhi Police,
Kirti Nagar Police Station,28.6402677,77.135379,,,Delhi Police,
Bhajgera Police Station,28.5205858,77.0235407,,"Bajghera road, Dwarka Expressway Sector 113",Haryana Police,
Vivek Vihar,28.667016,77.3062943,,,Delhi Police,
Bharat Nagar Police station,28.6807121,77.178135,,,Delhi Police,
Teela Mod Police Station,28.7258687,77.3346234,,,,
Sector 18 Police Station,28.487675,77.0660455,,,,
Women Facilitation Booth,28.7283053,77.1699161,,,Delhi Police,
"Police Post, Khan Market",28.6003274,77.2262488,,,Delhi Police,
"Police Station, DLF Phase 2",28.4873346,77.0910642,,,,
No entry for foreigners going towards the government buildings,28.6153345,77.2093428,,,Delhi Police,
"Gate 35, No entry for foreigners",28.6176525,77.1985707,,,Delhi Police,
Unnamed,28.617356,77.2020072,,,Delhi Police,
POLICE CHOWLI SIKANDARAPUR,28.6949996,77.3392139,,,,
"Traffic Police Station, RK Puram, Sector-4",28.560194,77.1811399,,Venkateshwara Marg,Delhi Police,
