name,address,latitude,longitude,phone
Police Station Rohini North,"P459+G59, Shiva Rd, Sector 7, Rohini, Delhi",28.7087886,77.1179824,+91 11 2704 8210
Sarai Rohilla Police Station,"Phase 3, Block P, East Moti Bagh, Moti Nagar, New Delhi",28.6687281,77.1834635,
Police Station Roop Nagar,"Bunglow Rd, near Fire Station, Block 6, Roop Nagar, New Delhi",28.6847741,77.20271029999999,+91 11 2384 4632
Police Station Model Town,"Ring Rd, Police Residential Colony, Pocket B, Model Town",28.702422700000003,77.1937391,+91 11 2745 6072
Maurice Nagar Police Station,"Vijay Nagar Marg, Reids Line Delhi Univ Staff Flats, Sarup Nagar",28.692495799999996,77.20661129999999,+91 11 2766 7178
Police Station-Sabzi Mandi,"Kabir Basti Marg, Arya Pura, Sabzi Mandi Old, New Delhi",28.668142800000002,77.2075003,+91 11 2382 3161
Police Station Wazirabad,"16/92-94, Indra Basti, Block C, Delhi Administration Flats, Timarpur",28.7072433,77.2243816,+91 11 2381 0073
Ashok Vihar Police Station,"POCKET B, B 3-4, Deep Cinema Rd, Ashok Vihar II, Wazirpur",28.6926439,77.17345949999999,+91 11 2724 3066
Police Station Civil Lines,"Khyber Pass, Civil Lines, Delhi",28.688641599999997,77.2216189,
Police Station Adarsh Nagar,"Mahatma Gandhi Rd, Transport Centre, Azadpur, Delhi",28.709963499999997,77.1752218,+91 11 2767 4452
Mehrauli Police Station,"Ward No 1, Kalka Das Marg, Mehrauli Village, New Delhi",28.5216483,77.1802439,
Police Station Malviya Nagar,"Rashid Rd, near Metro Station, Block A, Shivalik Colony, New Delhi",28.5307879,77.20452929999999,+91 11 2669 1861
Saket Police Station,"Court Chowk Rd, Near Select Citywalk Mall, New Delhi",28.526215999999998,77.217254,+91 11 2956 1300
Kalkaji Police Station,"Block 1, Kalkaji Extension, New Delhi",28.5473406,77.2562221,+91 11 2643 0607
Police Station Hauz Khas,"A/58, Police Station Colony, Block A, Mayfair Gardens, New Delhi",28.549231499999998,77.2090582,+91 11 2686 7878
Amar Colony Police Station,"Devi Marg, opp. Indian Oil Petrol Pump, Amar Colony, New Delhi",28.5593509,77.24064059999999,+91 11 2641 2194
Police Station South Campus,"K Block, Police Colony, Sector 12, Rama Krishna Puram",28.579623299999998,77.17602579999999,
Dr. Ambedkar Nagar Police Station,"2/84, Gali Number 1, Dakshinpuri Extension, New Delhi",28.5237375,77.2409219,+91 11 2346 9507
Police Station Defence Colony,"874, Lala Lajpat Rai Rd, Andrews Ganj, New Delhi",28.564839199999998,77.2329026,
Police Station Sangam Vihar,"Mangal Bazaar Rd, Block D, Sangam Vihar, New Delhi",28.509719699999998,77.2431929,+91 11 2604 4546
Police Station Rajouri Garden,"Vishal Cinema Rd, Shivaji Place, New Delhi",28.651495099999998,77.1200363,+91 11 2545 3990
Janakpuri Police Station,"8, Janakpuri District Center, New Delhi",28.62842,77.0819094,+91 11 2555 3166
Police Station Punjabi Bagh,"Shivaji Park, Block H, West Punjabi Bagh, New Delhi",28.674481999999998,77.1317512,+91 11 2522 4162
Police Station Uttam Nagar,"JJ Colony, Uttam Nagar, Delhi",28.625293499999998,77.0647985,+91 11 2537 7425
Tilak Nagar Police Station,"Najafgarh Rd, Meenakshi Garden, Ashok Nagar, New Delhi",28.6385935,77.10191309999999,+91 11 2540 9290
Police Station Hari Nagar,"61, District Park Rd, Block DB, Maya Enclave, New Delhi",28.6227098,77.1092408,
Patel Nagar Police Station,"Patel Rd, Block B, West Patel Nagar, New Delhi",28.652374599999998,77.15808380000001,+91 11 2587 4034
Moti Nagar Police Station,"near HPCL, Phase 3, Block P, New Moti Nagar, New Delhi",28.6603412,77.14666629999999,+91 11 2593 8880
Madipur Police Station,"80A, Swami Nivruci Nath Marg, Pocket 3, West Punjabi Bagh",28.668236499999995,77.117727,+91 11 2521 7008
Police Station Nangloi,"Block 4 ABC, Nangloi Extension, Nangloi, Delhi",28.6818351,77.0670557,+91 11 2346 9503
Police Station Pandav Nagar,"Ram Kumar Gautam Marg, near Bimla Devi Hospital, Mayur Vihar",28.620204100000002,77.3028104,+91 11 2278 0100
