State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
Delhi UT,1,Central,2014,91,0,169,7,212,37,99,0,0,0,0,0,0,0,615
Delhi UT,2,Crime Branch,2014,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3
Delhi UT,3,East,2014,230,6,346,15,446,114,477,0,6,1,0,0,3,2,1646
Delhi UT,4,EOW,2014,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Delhi UT,5,IGI Airport,2014,0,0,0,0,12,4,0,0,0,0,0,0,0,0,16
Delhi UT,6,Metro,2014,1,0,2,0,28,3,0,0,0,0,0,0,0,0,34
Delhi UT,7,New Delhi,2014,20,0,25,2,56,18,15,0,0,0,0,0,0,0,136
Delhi UT,8,North,2014,60,3,149,6,180,18,117,0,3,1,0,0,0,0,537
Delhi UT,9,North-East,2014,237,7,578,27,492,50,349,0,7,0,0,0,0,2,1749
Delhi UT,10,North-West,2014,165,12,354,14,404,51,246,0,0,0,0,0,0,0,1246
Delhi UT,11,Outer,2014,259,9,688,22,428,146,521,0,5,1,0,0,0,0,2079
Delhi UT,12,RAILWAY,2014,1,0,8,0,19,1,0,0,0,0,0,0,0,0,29
Delhi UT,13,South,2014,280,10,369,6,595,665,143,0,0,0,0,0,4,3,2075
Delhi UT,14,South-East,2014,266,6,402,24,469,123,312,0,2,7,0,0,0,1,1612
Delhi UT,15,South-West,2014,234,16,397,17,494,68,318,0,5,0,0,0,0,0,1549
Delhi UT,16,Spl Cell,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,17,SPUWAC,2014,0,0,0,0,0,0,160,0,0,1,0,0,0,0,161
Delhi UT,18,Vigilance,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,19,West,2014,251,1,546,13,484,63,416,0,0,2,0,0,0,0,1776
Delhi UT,20,Total District(s),2014,2096,70,4034,153,4322,1361,3173,0,28,13,0,0,7,8,15265
