State/ UT,Sl. No.,District/ Area,Year,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Abetment of Suicides of Women,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986",Protection of Children from Sexual Offences Act,"Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,Total Crimes against Women
Delhi UT,1,Central,2015,85,0,188,4,256,71,110,0,0,1,0,0,0,0,715
Delhi UT,2,Crime Branch,2015,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Delhi UT,3,East,2015,239,4,448,6,588,214,414,0,8,4,0,0,0,1,1926
Delhi UT,4,EOW,2015,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Delhi UT,5,IGI Airport,2015,1,0,2,0,11,6,0,0,0,0,0,0,0,0,20
Delhi UT,6,Metro,2015,4,1,1,0,15,2,1,0,0,0,0,0,0,0,24
Delhi UT,7,New Delhi,2015,22,0,26,0,48,12,6,0,0,0,0,0,0,0,114
Delhi UT,8,North,2015,48,3,160,2,173,14,114,0,0,2,0,0,1,0,517
Delhi UT,9,North-East,2015,244,6,533,13,486,40,469,0,4,0,0,0,0,1,1796
Delhi UT,10,North-West,2015,172,1,373,14,400,80,285,0,2,2,0,0,0,0,1329
Delhi UT,11,Outer,2015,315,3,652,28,536,180,563,0,7,0,0,0,0,0,2284
Delhi UT,12,RAILWAY,2015,15,1,9,0,13,3,0,0,0,0,0,0,0,0,41
Delhi UT,13,South,2015,323,5,495,10,1183,520,172,0,1,0,0,0,2,1,2712
Delhi UT,14,South-East,2015,240,5,475,14,559,141,300,0,1,6,0,0,0,0,1741
Delhi UT,15,South-West,2015,217,8,413,13,606,107,397,0,3,2,0,0,0,0,1766
Delhi UT,16,Spl Cell,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Delhi UT,17,SPUWAC,2015,0,0,0,0,0,0,157,0,0,0,0,0,0,0,157
Delhi UT,18,Vigilance,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,19,West,2015,272,9,525,18,486,102,533,0,3,3,0,0,1,0,1952
Delhi UT,20,Total District(s),2015,2199,46,4301,122,5367,1492,3521,0,29,20,0,0,4,3,17104
