STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
DELHI,CENTRAL,2001,28,42,4,30,7,2,0
DELHI,DELHI UT TOTAL,2001,381,964,113,502,90,138,0
DELHI,EAST,2001,24,39,11,56,11,27,0
DELHI,G.R.P.(RLY),2001,1,7,0,4,0,0,0
DELHI,I.G.I. AIRPORT,2001,0,1,0,0,2,0,0
DELHI,NEW DELHI,2001,9,19,0,20,6,2,0
DELHI,NORTH,2001,28,53,4,26,6,9,0
DELHI,NORTH EAST,2001,36,123,20,34,1,8,0
DELHI,NORTH WEST,2001,103,298,25,102,18,22,0
DELHI,S.T.F.,2001,0,0,0,0,0,0,0
DELHI,SOUTH,2001,65,170,15,96,24,22,0
DELHI,SOUTH WEST,2001,42,113,16,69,13,24,0
DELHI,WEST,2001,45,99,18,65,2,22,0
DELHI,CENTRAL,2002,22,57,2,41,17,6,0
DELHI,DELHI UT TOTAL,2002,403,893,135,446,128,135,0
DELHI,EAST,2002,10,109,19,55,6,16,0
DELHI,G.R.P.(RLY),2002,0,0,0,3,0,0,0
DELHI,I.G.I. AIRPORT,2002,0,1,0,2,2,0,0
DELHI,NEW DELHI,2002,8,12,0,11,15,2,0
DELHI,NORTH,2002,27,47,5,31,23,4,0
DELHI,NORTH EAST,2002,39,111,13,27,3,29,0
DELHI,NORTH WEST,2002,120,259,26,101,16,20,0
DELHI,S.T.F.,2002,0,0,0,0,0,0,0
DELHI,SOUTH,2002,65,124,22,76,22,22,0
DELHI,SOUTH WEST,2002,68,80,21,62,13,20,0
DELHI,SPL CELL,2002,0,0,0,0,0,0,0
DELHI,WEST,2002,44,93,27,37,11,16,0
DELHI,CENTRAL,2003,20,40,4,29,10,49,0
DELHI,DELHI UT TOTAL,2003,490,797,130,489,105,1211,0
DELHI,EAST,2003,37,119,15,73,8,190,0
DELHI,G.R.P.(RLY),2003,0,5,3,4,0,0,0
DELHI,I.G.I. AIRPORT,2003,0,1,0,5,1,0,0
DELHI,NEW DELHI,2003,8,16,1,20,8,13,0
DELHI,NORTH,2003,34,44,4,16,8,55,0
DELHI,NORTH EAST,2003,53,133,20,41,5,128,0
DELHI,NORTH WEST,2003,128,191,27,102,14,290,0
DELHI,S.T.F.,2003,0,0,0,0,0,0,0
DELHI,SOUTH,2003,83,102,24,89,21,199,0
DELHI,SOUTH WEST,2003,57,73,22,52,26,119,0
DELHI,WEST,2003,70,73,10,58,4,168,0
DELHI,CENTRAL,2004,27,41,1,44,12,44,0
DELHI,DELHI UT TOTAL,2004,551,881,126,601,130,1254,0
DELHI,EAST,2004,62,125,13,82,6,212,0
DELHI,G.R.P.(RLY),2004,5,2,2,2,1,0,0
DELHI,I.G.I. AIRPORT,2004,1,2,0,7,0,1,0
DELHI,NEW DELHI,2004,8,11,1,34,15,11,0
DELHI,NORTH,2004,23,55,6,21,5,55,0
DELHI,NORTH EAST,2004,67,120,18,46,6,144,0
DELHI,NORTH WEST,2004,124,203,29,129,23,267,0
DELHI,S.T.F.,2004,1,0,0,1,0,0,0
DELHI,SOUTH,2004,96,175,21,130,40,179,0
DELHI,SOUTH WEST,2004,79,68,11,59,13,126,0
DELHI,WEST,2004,58,79,24,46,9,215,0
DELHI,CENTRAL,2005,20,32,4,40,26,48,1
DELHI,DELHI UT TOTAL,2005,658,1106,114,762,225,1324,1
DELHI,EAST,2005,59,129,12,105,16,178,0
DELHI,G.R.P.(RLY),2005,2,1,1,5,1,0,0
DELHI,IGI AIRPORT,2005,1,0,0,1,0,0,0
DELHI,NEW DELHI,2005,6,15,2,26,24,9,0
DELHI,NORTH,2005,22,49,2,45,7,96,0
DELHI,NORTH-EAST,2005,106,151,29,79,23,140,0
DELHI,NORTH-WEST,2005,190,349,23,138,53,324,0
DELHI,SOUTH,2005,87,169,19,151,36,188,0
DELHI,SOUTH-WEST,2005,71,89,12,86,20,114,0
DELHI,SPL CELL,2005,0,0,0,0,0,0,0
DELHI,WEST,2005,94,122,10,86,19,227,0
DELHI,CENTRAL,2006,17,52,3,21,14,75,0
DELHI,DELHI UT TOTAL,2006,623,1066,137,718,144,1728,0
DELHI,EAST,2006,61,87,9,86,19,205,0
DELHI,GRP(RLY),2006,1,10,1,0,0,0,0
DELHI,IGI AIRPORT,2006,0,5,0,2,1,1,0
DELHI,NEW DELHI,2006,6,17,0,31,13,16,0
DELHI,NORTH,2006,22,34,8,27,5,128,0
DELHI,NORTH-EAST,2006,93,149,28,92,17,176,0
DELHI,NORTH-WEST,2006,169,287,28,137,11,412,0
DELHI,SOUTH,2006,87,169,19,141,34,215,0
DELHI,SOUTH-WEST,2006,79,128,24,84,25,240,0
DELHI,STF,2006,0,0,0,0,0,0,0
DELHI,WEST,2006,88,128,17,97,5,260,0
DELHI,CENTRAL,2007,22,45,6,38,9,91,0
DELHI,DELHI UT TOTAL,2007,598,1167,138,868,167,1787,0
DELHI,EAST,2007,73,102,16,112,24,202,0
DELHI,GRP(RLY),2007,4,8,0,4,1,0,0
DELHI,IGI AIRPORT,2007,0,0,0,8,3,1,0
DELHI,NEW DELHI,2007,7,9,0,23,10,14,0
DELHI,NORTH,2007,33,41,6,43,30,89,0
DELHI,NORTH-EAST,2007,89,200,17,120,13,249,0
DELHI,NORTH-WEST,2007,51,120,7,64,3,151,0
DELHI,OUTER,2007,121,237,29,100,12,208,0
DELHI,SOUTH,2007,83,177,22,169,36,275,0
DELHI,SOUTH-WEST,2007,51,111,19,85,14,222,0
DELHI,STF,2007,0,0,0,0,0,0,0
DELHI,WEST,2007,64,117,16,102,12,285,0
DELHI,CAW,2008,0,0,0,1,0,104,0
DELHI,CENTRAL,2008,30,61,6,38,12,81,0
DELHI,CRIME BRANCH,2008,0,0,0,0,0,0,0
DELHI,DELHI UT TOTAL,2008,466,1136,129,611,130,1387,0
DELHI,EAST,2008,73,125,21,93,14,184,0
DELHI,EOW,2008,0,0,0,0,2,0,0
DELHI,GRP(RLY),2008,0,5,1,1,0,1,0
DELHI,IGI AIRPORT,2008,0,0,0,2,0,0,0
DELHI,NEW DELHI,2008,3,14,1,18,3,9,0
DELHI,NORTH,2008,20,61,4,35,9,79,0
DELHI,NORTH-EAST,2008,32,169,17,77,23,172,0
DELHI,NORTH-WEST,2008,59,103,12,48,8,82,0
DELHI,OUTER,2008,59,252,21,48,5,162,0
DELHI,SOUTH,2008,37,51,8,52,16,76,0
DELHI,SOUTH-EAST,2008,61,123,15,82,25,156,0
DELHI,SOUTH-WEST,2008,38,66,9,39,7,109,0
DELHI,STF,2008,0,0,0,0,0,0,0
DELHI,WEST,2008,54,106,14,77,6,172,0
DELHI,CAW,2009,0,0,0,1,0,192,0
DELHI,CENTRAL,2009,28,49,6,34,5,62,0
DELHI,CRIME BRANCH,2009,2,0,0,0,0,0,0
DELHI,DELHI UT TOTAL,2009,469,1655,141,552,118,1283,0
DELHI,EAST,2009,52,187,10,81,10,121,0
DELHI,EOW,2009,0,0,0,1,1,0,0
DELHI,GRP(RLY),2009,4,5,1,0,0,1,0
DELHI,IGI AIRPORT,2009,0,0,0,2,0,0,0
DELHI,NEW DELHI,2009,6,17,1,17,7,7,0
DELHI,NORTH,2009,19,81,8,35,18,49,0
DELHI,NORTH-EAST,2009,47,246,15,67,9,138,0
DELHI,NORTH-WEST,2009,54,137,13,39,0,120,0
DELHI,OUTER,2009,41,204,21,61,6,173,0
DELHI,SOUTH,2009,42,97,10,45,23,61,0
DELHI,SOUTH-EAST,2009,59,237,18,78,30,63,0
DELHI,SOUTH-WEST,2009,52,170,17,53,3,79,0
DELHI,STF,2009,0,0,0,0,0,0,0
DELHI,WEST,2009,63,225,21,38,6,217,0
DELHI,CAW,2010,0,0,0,0,0,187,0
DELHI,CENTRAL,2010,20,62,2,25,3,62,0
DELHI,CRIME BRANCH,2010,0,0,0,0,0,0,0
DELHI,DELHI UT TOTAL,2010,507,1740,143,601,80,1404,0
DELHI,EAST,2010,47,192,12,83,8,163,0
DELHI,EOW,2010,0,0,0,0,0,0,0
DELHI,GRP(RLY),2010,2,5,0,3,0,0,0
DELHI,IGI AIRPORT,2010,0,0,0,7,0,0,0
DELHI,NEW DELHI,2010,16,21,0,20,10,2,0
DELHI,NORTH,2010,7,88,8,23,8,63,0
DELHI,NORTH-EAST,2010,51,252,24,68,5,216,0
DELHI,NORTH-WEST,2010,50,132,11,62,5,163,0
DELHI,OUTER,2010,49,260,21,64,9,124,0
DELHI,SOUTH,2010,59,144,9,66,10,79,0
DELHI,SOUTH-EAST,2010,80,189,13,92,10,60,0
DELHI,SOUTH-WEST,2010,54,203,24,28,5,94,0
DELHI,STF,2010,0,0,0,0,0,0,0
DELHI,WEST,2010,72,192,19,60,7,191,0
DELHI,CAW,2011,1,0,0,1,0,128,0
DELHI,CENTRAL,2011,16,89,3,32,4,29,0
DELHI,CRIME BRANCH,2011,1,0,0,0,0,0,0
DELHI,DELHI UT TOTAL,2011,572,2085,142,657,162,1575,0
DELHI,EAST,2011,55,226,14,78,17,160,0
DELHI,EOW,2011,0,0,0,0,0,0,0
DELHI,GRP(RLY),2011,4,10,1,7,1,0,0
DELHI,IGI AIRPORT,2011,0,0,0,8,2,0,0
DELHI,NEW DELHI,2011,2,17,1,17,12,5,0
DELHI,NORTH,2011,11,84,4,15,10,88,0
DELHI,NORTH-EAST,2011,69,285,21,88,21,254,0
DELHI,NORTH-WEST,2011,58,177,10,48,13,117,0
DELHI,OUTER,2011,73,328,34,65,3,196,0
DELHI,SOUTH,2011,65,143,11,50,29,59,0
DELHI,SOUTH-EAST,2011,75,234,19,127,32,108,0
DELHI,SOUTH-WEST,2011,69,238,11,56,10,144,0
DELHI,STF,2011,0,0,0,0,0,0,0
DELHI,WEST,2011,73,254,13,65,8,287,0
DELHI,CAW,2012,0,0,0,0,0,178,0
DELHI,CENTRAL,2012,31,95,4,47,12,57,0
DELHI,CRIME BRANCH,2012,1,1,0,0,0,0,0
DELHI,DELHI UT TOTAL,2012,706,2160,134,727,208,1985,0
DELHI,EAST,2012,90,251,7,96,26,202,0
DELHI,EOW,2012,0,0,0,0,0,0,0
DELHI,GRP(RLY),2012,4,12,1,12,6,0,0
DELHI,IGI AIRPORT,2012,0,0,0,6,0,0,0
DELHI,NEW DELHI,2012,5,13,0,29,7,4,0
DELHI,NORTH,2012,14,84,6,29,10,70,0
DELHI,NORTH-EAST,2012,78,263,25,69,9,293,0
DELHI,NORTH-WEST,2012,64,184,12,19,14,212,0
DELHI,OUTER,2012,67,317,15,79,18,244,0
DELHI,SOUTH,2012,70,134,17,59,36,68,0
DELHI,SOUTH-EAST,2012,116,306,11,160,43,123,0
DELHI,SOUTH-WEST,2012,87,244,18,69,21,207,0
DELHI,STF,2012,0,0,0,0,0,0,0
DELHI,WEST,2012,79,256,18,53,6,327,0
